player_name,side,rounds_played,demo_count,adr,adr_std,kpr,survival_rate,damage_per_round,damage_taken_per_round,damage_diff_per_round,util_damage_per_round,assists_per_round,flash_assists_per_round,trade_kill_rate,death_traded_rate,trade_participation,opening_kill_rate,opening_death_rate,opening_duel_attempt_rate,opening_duel_success,multi_kill_rate,rifle_kill_share,awp_kill_share,grenades_per_round,he_grenades_per_round,flashbangs_per_round,smokes_per_round,fire_nades_per_round,decoys_per_round,avg_distance_to_enemy,avg_distance_to_enemy_std,avg_distance_to_team_centroid,avg_distance_to_team_centroid_std,relative_team_centroid_distance,relative_team_centroid_distance_std,avg_distance_moved_per_round,avg_distance_moved_per_round_std,avg_distance_to_closest_teammate,avg_distance_to_closest_teammate_std,time_near_enemy_rate,time_near_enemy_rate_std,first_contact_rate,first_contact_received_rate,first_contact_participation_rate,time_stationary_rate,time_stationary_rate_std,kast_std,impact_std,rating_std,cluster,pc1,pc2
beastik,ct,147,13,67.89795918367346,19.979102614722613,0.54421768707483,0.3265306122448979,80.421768707483,95.59183673469389,-15.170068027210885,7.136054421768708,0.3469387755102041,0.0544217687074829,0.1875,0.2323232323232323,0.2585034013605442,0.1020408163265306,0.1564625850340136,0.2585034013605442,0.3947368421052631,0.1156462585034013,0.8625,0.0,2.4489795918367347,0.5850340136054422,0.7687074829931972,0.5918367346938775,0.5034013605442177,0.0,2055.977676765091,199.2385036311256,649.010281028201,182.01947285677232,0.9307024014240164,0.1936425069122654,8130.844297890542,1622.2369398433054,532.3143817659712,87.49985636135015,0.324171941441307,0.0633875691097679,0.1156462585034013,0.0952380952380952,0.2108843537414966,0.6025688800327199,0.0682073427412453,12.823133352689345,0.5221365860374236,0.4008334029671326,2,-3.5987106144877217,-0.5511978782249318
belchonokk,ct,245,25,69.48979591836735,24.41055125038245,0.5918367346938775,0.3714285714285714,84.01632653061225,92.40408163265306,-8.387755102040817,4.987755102040817,0.2081632653061224,0.0081632653061224,0.2551724137931034,0.2597402597402597,0.3142857142857143,0.0489795918367346,0.1061224489795918,0.1551020408163265,0.3157894736842105,0.1387755102040816,0.8068965517241379,0.0068965517241379,2.0040816326530613,0.4693877551020408,0.3510204081632653,0.7183673469387755,0.4653061224489795,0.0,2061.8848323504444,123.7045310129656,783.6221294005204,197.93835718986853,1.02092924370382,0.1920629630839555,9053.802555617032,772.5567384519301,573.638285172929,109.27555729109532,0.3161270374622116,0.0732626015257878,0.0857142857142857,0.0938775510204081,0.1795918367346938,0.5814923817310775,0.0391585530594614,15.64106407694861,0.5542815155887325,0.4508152233008497,1,-2.6537777179551174,2.9575352823091756
biguzera,ct,282,30,83.68439716312056,26.646430164943087,0.74822695035461,0.4326241134751773,103.99290780141844,82.69858156028369,21.29432624113475,6.783687943262412,0.2872340425531915,0.0567375886524822,0.1469194312796208,0.24375,0.2482269503546099,0.1170212765957446,0.0851063829787234,0.202127659574468,0.5789473684210527,0.1773049645390071,0.7488151658767772,0.0094786729857819,2.6666666666666665,0.5638297872340425,0.8617021276595744,0.7127659574468085,0.524822695035461,0.0035460992907801,1999.7790001673573,127.61578914562682,606.2896977286099,102.1911594044791,0.8785564073274309,0.1317424078741026,9221.384756458883,1457.623602716451,506.4527174856729,79.40797187913346,0.3404597319499253,0.0769408469558263,0.1134751773049645,0.1205673758865248,0.2340425531914893,0.5564774905366846,0.0553064406643716,16.95525805664224,0.607123828418403,0.4530685053725136,0,-0.40567307534164204,-3.121710730054091
blamef,ct,172,16,101.29651162790698,27.75592085088899,0.9593023255813954,0.5116279069767442,125.41279069767442,76.93604651162791,48.47674418604651,14.505813953488373,0.3546511627906977,0.0116279069767441,0.1818181818181818,0.3095238095238095,0.3255813953488372,0.1744186046511628,0.0348837209302325,0.2093023255813953,0.8333333333333334,0.2732558139534883,0.7636363636363637,0.006060606060606,2.127906976744186,0.7732558139534884,0.3895348837209302,0.5290697674418605,0.436046511627907,0.0,2054.513314529086,160.03157405630682,636.4842345982703,141.87828499169055,0.9305023316944442,0.156413455392967,9109.204036184474,1331.189403867607,544.3534701517995,75.72711341785744,0.3017813723199766,0.0526519301036127,0.1744186046511628,0.0697674418604651,0.2441860465116279,0.5435859083977157,0.0464694580430263,13.113043938898524,0.6614017126200509,0.4749023885062405,0,2.0854985240635275,-4.838426464427893
blitz,ct,418,36,86.4066985645933,21.96010227327483,0.6698564593301436,0.3732057416267942,103.38277511961722,91.29186602870811,12.090909090909092,15.68421052631579,0.3732057416267942,0.0478468899521531,0.2535714285714285,0.2748091603053435,0.3421052631578947,0.1148325358851674,0.1411483253588516,0.2559808612440191,0.4485981308411215,0.1722488038277512,0.7392857142857143,0.0214285714285714,2.61244019138756,0.8133971291866029,0.6196172248803827,0.6291866028708134,0.5502392344497608,0.0,2040.7251543824648,114.28240327347334,652.8224774897012,120.54469485018728,0.8845480873753863,0.1184890508049769,9179.923778250864,1446.5865249026954,537.0904365140502,75.60511212773879,0.3211649590178694,0.05423402194443,0.1531100478468899,0.1411483253588516,0.2942583732057416,0.5633272357521354,0.0510739834521673,12.17950581679566,0.5175897616414773,0.3673032099140839,2,-1.7048827598589713,-3.688810231647876
boombl4,ct,369,36,84.14092140921409,27.869421216471025,0.7452574525745257,0.4173441734417344,100.03523035230351,84.28184281842819,15.75338753387534,7.517615176151762,0.3116531165311653,0.037940379403794,0.1927272727272727,0.2465116279069767,0.2872628726287263,0.1111111111111111,0.08130081300813,0.1924119241192411,0.5774647887323944,0.2113821138211382,0.7418181818181818,0.0072727272727272,2.8536585365853657,0.6775067750677507,0.7425474254742548,0.7669376693766937,0.6612466124661247,0.005420054200542,1977.834378767309,149.7296771252082,638.5205892349153,141.57123100193127,0.9097879866809204,0.1316332943834355,9935.010716333014,1590.0733577034362,507.3648413106144,109.29040765220756,0.3696920729028873,0.1100371101302869,0.1273712737127371,0.0975609756097561,0.2249322493224932,0.5071851979266776,0.0589180876574334,15.859357172562332,0.6631877771749886,0.4963855889946572,0,-2.80211865675867,-3.5316008056973587
br0,ct,143,13,74.87412587412588,21.42123420575006,0.6783216783216783,0.3566433566433566,95.06993006993008,94.94405594405596,0.1258741258741259,4.4825174825174825,0.2237762237762237,0.0,0.2371134020618556,0.2934782608695652,0.3496503496503496,0.0979020979020979,0.1118881118881118,0.2097902097902098,0.4666666666666667,0.1538461538461538,0.7938144329896907,0.0103092783505154,2.202797202797203,0.4195804195804196,0.7482517482517482,0.6013986013986014,0.4335664335664335,0.0,2083.838149462992,128.4109011744326,651.3860559675364,65.24853126476138,1.0004518305026706,0.1396437646651752,8629.15665808591,1616.5944836018691,494.4764801573487,68.21983119834614,0.3329619188161906,0.0701120828021702,0.0979020979020979,0.0839160839160839,0.1818181818181818,0.5833861654193074,0.056854623154814,15.653025922859024,0.5575867562545835,0.4151949448186042,2,-0.7755324907770188,-0.44614762945023284
brnz4n,ct,201,22,74.08457711442786,28.314874610554792,0.6467661691542289,0.3781094527363184,94.7860696517413,85.51243781094527,9.27363184079602,2.398009950248756,0.2437810945273631,0.0248756218905472,0.2153846153846154,0.312,0.3333333333333333,0.1243781094527363,0.0547263681592039,0.1791044776119403,0.6944444444444444,0.1293532338308457,0.7307692307692307,0.0076923076923076,2.2487562189054726,0.3781094527363184,0.472636815920398,0.7661691542288557,0.6318407960199005,0.0,2051.8105643143926,188.0344562371352,836.2809202304602,141.89347234292853,1.124686896714222,0.0859157315872173,7750.875782147022,1316.6254108967296,539.512853473364,97.85413785746864,0.3495026695059427,0.0774632272414525,0.099502487562189,0.0845771144278607,0.1840796019900497,0.6168585765121154,0.0497626821214321,16.27285415667323,0.7267545582986756,0.4712669051229598,1,-0.603150308498749,1.4995916522694794
brollan,ct,107,11,76.42990654205607,22.70316417584261,0.7009345794392523,0.3457943925233644,97.05607476635514,91.00934579439252,6.046728971962617,6.065420560747664,0.1588785046728972,0.02803738317757,0.1866666666666666,0.2428571428571428,0.2897196261682243,0.0841121495327102,0.0934579439252336,0.1775700934579439,0.4736842105263157,0.1775700934579439,0.6666666666666666,0.0,2.233644859813084,0.4766355140186916,0.5607476635514018,0.6635514018691588,0.5327102803738317,0.0,2177.319822369869,112.22602597956752,862.3908273201494,156.23459507415356,1.150607019431359,0.1103938446800876,8724.701657123444,1355.0757036100106,611.1707940708321,100.16578255380996,0.2698560223354632,0.0504084956269154,0.0747663551401869,0.1121495327102803,0.1869158878504672,0.5952611047189932,0.0351407058683059,14.962538723912107,0.4562842330134362,0.3836143411883785,1,0.10650505753471394,3.2598363847042497
bymas,ct,326,32,66.61349693251533,25.884806812452705,0.6134969325153374,0.4386503067484663,79.02760736196319,85.06134969325153,-6.033742331288344,2.8496932515337425,0.1993865030674846,0.0276073619631901,0.24,0.174863387978142,0.2453987730061349,0.0613496932515337,0.0797546012269938,0.1411042944785276,0.4347826086956521,0.1503067484662576,0.79,0.0,1.8773006134969328,0.3220858895705521,0.5030674846625767,0.4877300613496932,0.5644171779141104,0.0,1995.748839930956,115.92513303504263,712.5050132693339,209.65446829747503,0.9358275277978048,0.146146681313998,9068.79606404392,1160.0826716150705,562.8979745349294,126.69585946601804,0.3464787156062519,0.0835854922549921,0.0674846625766871,0.0613496932515337,0.1288343558282208,0.576718903132504,0.049325968076293,16.39658121246867,0.6624983286452493,0.4598522743212055,1,-1.7230302730007314,2.5286669570524376
