side,method,name,k,noise_pct,silhouette,davies_bouldin,stability_mean,stability_std,noise_assignment_stability_mean,noise_assignment_stability_std,composite_score,gt_ari,gt_accuracy,gt_matched_n,gt_match_rate,gt_side_ari,gt_side_accuracy,gt_side_balanced_accuracy,gt_side_macro_f1,gt_side_baseline_accuracy,gt_general_ari,gt_general_accuracy,gt_general_balanced_accuracy,gt_general_macro_f1,gt_general_baseline_accuracy,gt_igl_ari,gt_igl_accuracy,gt_igl_balanced_accuracy,gt_igl_macro_f1,gt_igl_baseline_accuracy
ct,hdbscan,hdbscan_mcs6_ms1,2,0.1667,0.2216850563487077,1.4973833921310291,0.9634165379295624,0.0320208879902653,0.9869934640522876,0.0108384460377067,0.5413161016957799,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs8_ms1,2,0.1667,0.2216850563487077,1.4973833921310291,0.9634165379295624,0.0320208879902653,0.9869934640522876,0.0108384460377067,0.5413161016957799,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs5_ms1,2,0.1667,0.2216850563487077,1.4973833921310291,0.961389192736275,0.0386868564335559,0.9866013071895424,0.0117419896883801,0.5378387762411488,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs10_ms3,2,0.2188,0.2307508450581126,1.4469223540234784,0.9371445557225332,0.0295893346987973,0.9801960784313728,0.009446875323229,0.5370577539437001,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs12_ms3,2,0.2188,0.2307508450581126,1.4469223540234784,0.9371445557225332,0.0295893346987973,0.9801960784313728,0.009446875323229,0.5370577539437001,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs2_ms3,2,0.2188,0.2307508450581126,1.4469223540234784,0.9371445557225332,0.0295893346987973,0.9801960784313728,0.009446875323229,0.5370577539437001,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs3_ms3,2,0.2188,0.2307508450581126,1.4469223540234784,0.9371445557225332,0.0295893346987973,0.9801960784313728,0.009446875323229,0.5370577539437001,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs4_ms3,2,0.2188,0.2307508450581126,1.4469223540234784,0.9371445557225332,0.0295893346987973,0.9801960784313728,0.009446875323229,0.5370577539437001,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs5_ms3,2,0.2188,0.2307508450581126,1.4469223540234784,0.9371445557225332,0.0295893346987973,0.9801960784313728,0.009446875323229,0.5370577539437001,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs6_ms3,2,0.2188,0.2307508450581126,1.4469223540234784,0.9371445557225332,0.0295893346987973,0.9801960784313728,0.009446875323229,0.5370577539437001,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs8_ms3,2,0.2188,0.2307508450581126,1.4469223540234784,0.9371445557225332,0.0295893346987973,0.9801960784313728,0.009446875323229,0.5370577539437001,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs15_ms3,2,0.2188,0.2307508450581126,1.4469223540234784,0.936926707143385,0.0296585005031976,0.9801940978411569,0.0094944462778426,0.5369429481902808,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs3_ms2,2,0.2135,0.2295846956630628,1.4486771125780316,0.967316722386604,0.0617583381568052,0.9896078431372548,0.0198480924173792,0.5357339867128728,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs15_ms4,2,0.2448,0.2383624908501824,1.4318990677452883,0.918590234185876,0.0327437935646321,0.973063973063973,0.0108842397813698,0.5319238278083023,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs10_ms4,2,0.2448,0.2383624908501824,1.4318990677452883,0.9181852426631396,0.032827918789478,0.972875816993464,0.0109903083142485,0.5317281811092693,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs12_ms4,2,0.2448,0.2383624908501824,1.4318990677452883,0.9181852426631396,0.032827918789478,0.972875816993464,0.0109903083142485,0.5317281811092693,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs2_ms4,2,0.2448,0.2383624908501824,1.4318990677452883,0.9181852426631396,0.032827918789478,0.972875816993464,0.0109903083142485,0.5317281811092693,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs3_ms4,2,0.2448,0.2383624908501824,1.4318990677452883,0.9181852426631396,0.032827918789478,0.972875816993464,0.0109903083142485,0.5317281811092693,,,,,,,,,,,,,,,,,,,
