player_name,side,rounds_played,adr,adr_std,kpr,survival_rate,damage_per_round,damage_taken_per_round,damage_diff_per_round,util_damage_per_round,assists_per_round,flash_assists_per_round,trade_kill_rate,death_traded_rate,trade_participation,opening_kill_rate,opening_death_rate,opening_duel_success,multi_kill_rate,rifle_kill_share,awp_kill_share,grenades_per_round,he_grenades_per_round,flashbangs_per_round,smokes_per_round,fire_nades_per_round,decoys_per_round,avg_distance_to_enemy,avg_distance_to_enemy_std,avg_distance_to_team_centroid,avg_distance_to_team_centroid_std,relative_team_centroid_distance,relative_team_centroid_distance_std,avg_distance_moved_per_round,avg_distance_moved_per_round_std,avg_distance_to_closest_teammate,avg_distance_to_closest_teammate_std,time_near_enemy_rate,time_near_enemy_rate_std,first_contact_rate,first_contact_rate_std,time_stationary_rate,time_stationary_rate_std,kast_std,impact_std,rating_std,cluster,pc1,pc2,predicted_cluster
b1t,t,284,80.10211267605634,32.336371595238894,0.7077464788732394,0.3204225352112676,101.72535211267606,96.20774647887325,5.517605633802817,3.559859154929577,0.2147887323943662,0.0352112676056338,0.2935323383084577,0.2797927461139896,0.397887323943662,0.1194029850746268,0.1243523316062176,0.5,0.1549295774647887,0.8059701492537313,0.0,1.97887323943662,0.2429577464788732,0.6619718309859155,0.6232394366197183,0.4366197183098591,0.0140845070422535,2137.6601888572072,162.8637723496141,671.5210884946689,136.7135178801703,1.1182952395686985,0.1491064113554731,9650.297445720858,1925.8616260754263,483.02875510720486,124.78868949571776,0.327903971190335,0.0748843258798913,0.2080523329655744,0.0640168901885624,0.5299265257316944,0.0818484278222018,15.553845825244183,0.6599235760158902,0.5471902220648488,4,-0.1980926934044609,5.459972657181512,4
bart4k,t,105,61.457142857142856,21.589413786195703,0.5142857142857142,0.2,73.85714285714286,112.34285714285714,-38.48571428571429,4.057142857142857,0.1142857142857142,0.0,0.0,0.0,0.0,0.1296296296296296,0.1428571428571428,0.3684210526315789,0.1047619047619047,0.7592592592592593,0.0,1.5333333333333334,0.1714285714285714,0.3809523809523809,0.5428571428571428,0.4285714285714285,0.0095238095238095,2002.5242859237007,89.38133442053994,592.8301165853532,123.40327190301308,1.0327006081878605,0.144582010422407,8159.40128302454,1424.8735544019185,419.050505702901,107.19878916321852,0.4376836682262564,0.0790203605625664,0.198911206632593,0.0601125679441954,0.6075505364790871,0.0556528322937942,15.869217807376588,0.5351554065611199,0.4579378024515472,1,2.6432818300188323,-1.6758485180982865,1
beastik,t,130,66.1923076923077,35.973514798972865,0.5846153846153846,0.2538461538461538,83.14615384615385,110.23846153846154,-27.09230769230769,2.5615384615384613,0.2076923076923077,0.0461538461538461,0.1578947368421052,0.2371134020618556,0.2692307692307692,0.1052631578947368,0.1958762886597938,0.2962962962962963,0.1384615384615384,0.631578947368421,0.0,2.4615384615384617,0.1307692307692307,0.9923076923076924,0.8615384615384616,0.4692307692307692,0.0076923076923076,2102.9824941621005,144.36022117364635,583.1978636171469,125.87886995272302,1.0264007867937022,0.1034486682904081,7707.717843944639,1522.15189548923,441.23873038776577,118.99190782898324,0.3580515434820688,0.062651545498843,0.1915418085696197,0.0496293275941827,0.5952751336769166,0.0420656599752157,19.92391691270277,0.7489946006867627,0.5540572971383412,5,-0.5343407499859059,0.1322096284751973,5
belchonokk,t,266,54.43609022556391,25.409571430571912,0.4849624060150376,0.2330827067669172,69.92105263157895,105.23684210526316,-35.31578947368421,5.409774436090226,0.1541353383458646,0.0526315789473684,0.0,0.0,0.0,0.1007751937984496,0.088235294117647,0.4193548387096774,0.0977443609022556,0.7054263565891473,0.0155038759689922,1.8834586466165413,0.1842105263157894,0.650375939849624,0.5977443609022557,0.4511278195488721,0.0,2123.0783739283243,119.0429914470494,587.8285782427192,118.49071480689446,1.021638364964888,0.1508994734151107,9140.885432992463,1640.3433555702345,393.5784889512824,122.55568936523068,0.3660887409399547,0.0856403591334262,0.1713183830484329,0.0729554152006564,0.583846397244877,0.0561671143837858,17.096031174953918,0.5071381638028971,0.3913388646548721,5,-0.0014514069003399,-0.5545496309758308,5
biguzera,t,270,54.71851851851852,25.3139447360727,0.4703703703703704,0.2444444444444444,69.84074074074074,107.27777777777776,-37.43703703703704,3.925925925925926,0.1444444444444444,0.0037037037037037,0.3070866141732283,0.2450980392156862,0.3296296296296296,0.1338582677165354,0.142156862745098,0.3695652173913043,0.0888888888888888,0.6377952755905512,0.0,2.5407407407407407,0.2925925925925925,0.8185185185185185,0.8851851851851852,0.5370370370370371,0.0074074074074074,2010.1164546663783,137.89642721602962,521.129878752265,93.22486244434202,0.9631977126280434,0.081253315890775,9095.40589371793,1763.5737641432677,365.540742190443,58.79323432383129,0.4032972667573062,0.103402297470815,0.2032455266858774,0.0435681243666861,0.5605525247858675,0.0601979088624827,18.683933926697392,0.5758309692256981,0.4501992153918603,5,-0.6931231328620228,-1.276996233725619,5
blamef,t,173,70.11560693641619,22.36345753944681,0.6127167630057804,0.2716763005780346,89.75722543352602,102.05780346820808,-12.30057803468208,6.815028901734104,0.2080924855491329,0.0173410404624277,0.0,0.0,0.0,0.1226415094339622,0.0873015873015873,0.5416666666666666,0.1329479768786127,0.7641509433962265,0.0,2.254335260115607,0.4624277456647399,0.5086705202312138,0.7803468208092486,0.5028901734104047,0.0,2151.985259997557,148.92377746620292,552.1550063204361,106.2650831601406,1.031297950610755,0.0923135053021762,8795.549353083477,1581.4385578086608,425.8062724142542,92.4788252675319,0.3518870240011055,0.1002783672291029,0.2009396486609178,0.0822914528907655,0.5451183738284614,0.0523725918007708,17.75787729590862,0.491882232049239,0.4444876375185265,4,0.0773487853037607,1.8375388230497287,4
blitz,t,428,71.16822429906541,20.625197592146936,0.5700934579439252,0.2663551401869158,87.3714953271028,103.10514018691588,-15.733644859813085,8.738317757009346,0.2873831775700934,0.0537383177570093,0.0,0.0,0.0,0.1475409836065573,0.1815286624203821,0.3870967741935484,0.1355140186915887,0.7377049180327869,0.0245901639344262,2.9509345794392523,0.3995327102803738,1.0537383177570094,0.8504672897196262,0.6308411214953271,0.0163551401869158,2048.7832125385794,128.21411619856812,569.4518788377998,99.55311402912852,1.0159078358376643,0.1143078646935838,9295.74228679158,1412.0213126690487,423.1406480623946,106.60991466372484,0.3709819927661133,0.0777477960527761,0.1966376096670284,0.0640120314733709,0.551751535948454,0.0490960255173019,16.00737706889705,0.5697714757408457,0.4014661599182251,5,-0.4274612316787241,1.273108192104994,5
boombl4,t,367,59.85558583106267,23.49224616154094,0.4768392370572207,0.2370572207084468,71.15531335149863,110.29972752043597,-39.14441416893733,4.741144414168938,0.2125340599455041,0.0245231607629427,0.0,0.0,0.0,0.1257142857142857,0.2,0.282051282051282,0.108991825613079,0.7371428571428571,0.0171428571428571,2.713896457765668,0.3405994550408719,0.7547683923705722,0.885558583106267,0.7329700272479565,0.0,2018.88078338666,115.58650293693438,519.0009877924834,105.16938926784884,0.969492161176392,0.0766143291691698,8991.048404344838,1759.7941064215076,398.7611058128679,76.09731706810598,0.4064254422161572,0.0853187068901908,0.2043183135666516,0.0621017619171425,0.5489574517462166,0.0631381401756548,16.13457698600062,0.5251603457458359,0.4403194820712643,5,0.3651258485550108,-1.0708331010209546,5
br0,t,151,71.45033112582782,17.079236682416152,0.5960264900662252,0.2185430463576159,89.35099337748345,104.60264900662251,-15.251655629139073,7.463576158940397,0.1854304635761589,0.0198675496688741,0.2555555555555555,0.2288135593220339,0.3311258278145695,0.2333333333333333,0.1694915254237288,0.5121951219512195,0.1390728476821192,0.8333333333333334,0.0111111111111111,2.1456953642384105,0.4503311258278146,0.6622516556291391,0.3443708609271523,0.6754966887417219,0.0132450331125827,2025.7863227833743,143.80824555631352,553.3120158702026,118.81115995820224,0.9948539485001124,0.1127719677739896,8447.54595728448,1190.4572375708424,426.0371014659551,112.94390519759264,0.4135688847213546,0.1203440710698303,0.2278062633722189,0.0461245170090833,0.5924853775694209,0.0397436126097679,12.219142733799034,0.4834960832319587,0.3715108586025806,3,1.9551715643361764,0.7061613083842005,3
brnz4n,t,210,56.7047619047619,24.92240987670204,0.4809523809523809,0.2142857142857142,71.22857142857143,112.57619047619048,-41.34761904761905,3.223809523809524,0.1523809523809524,0.0047619047619047,0.4257425742574257,0.2545454545454545,0.4047619047619047,0.1089108910891089,0.1939393939393939,0.2558139534883721,0.1095238095238095,0.7227722772277227,0.0,1.980952380952381,0.3047619047619048,0.580952380952381,0.6761904761904762,0.4142857142857143,0.0047619047619047,2094.9258105369645,176.75963957269423,565.4146573203188,155.67340138399106,1.0599732514785596,0.1792917340752363,7110.787467489947,1644.968015070005,363.0424085632862,145.8504729257325,0.4133758921222306,0.1044078576692669,0.1785845368509569,0.0510074512022125,0.6216812554574418,0.0802283036362517,20.405607909368204,0.6385386514952539,0.5396634403241024,3,2.4098089509311515,-1.3837505116600324,3
broky,t,57,45.87719298245614,17.348734303302873,0.4736842105263157,0.2982456140350877,65.7719298245614,99.96491228070175,-34.19298245614035,1.1754385964912282,0.1578947368421052,0.1052631578947368,0.4814814814814814,0.275,0.4210526315789473,0.1481481481481481,0.125,0.4444444444444444,0.1228070175438596,0.5555555555555556,0.2592592592592592,2.0350877192982457,0.0350877192982456,1.105263157894737,0.4210526315789473,0.4736842105263157,0.0,2068.4072426108964,103.6787134135298,466.2737549177827,83.03715561107035,0.8904474003467004,0.1220918190144313,8709.51149361697,1229.4644737019826,320.9391746717966,91.90652021410392,0.3465156645984671,0.0953278904303459,0.1228556892839964,0.044374070263823,0.5842477638407236,0.0701132470748147,18.61896417163309,0.5112017487168412,0.4541668888219597,2,-4.19885667610798,-1.676467487076886,2
brollan,t,112,63.375,25.78727768394723,0.5089285714285714,0.1696428571428571,77.26785714285714,114.85714285714286,-37.58928571428572,2.794642857142857,0.1964285714285714,0.0178571428571428,0.0,0.0,0.0,0.175438596491228,0.2795698924731182,0.2777777777777778,0.1428571428571428,0.6491228070175439,0.0,1.5446428571428572,0.1875,0.4375,0.375,0.5446428571428571,0.0,1975.93039902491,127.4976970423763,491.0790741867247,107.1671067286308,0.9675289305417196,0.1199705473226578,7789.73091821636,908.9349752578148,359.3127240988254,92.3039257137084,0.4855251408295354,0.1018154007058983,0.2855881747591651,0.0977200600955076,0.6179712208771911,0.0511786190081716,16.79994785299192,0.5234200769201321,0.3994318636503366,0,4.063806311994555,-2.9122237222991605,0
bymas,t,321,61.8006230529595,36.732872882508005,0.5264797507788161,0.2585669781931464,76.52959501557632,103.89408099688474,-27.36448598130841,2.4953271028037385,0.1931464174454828,0.0155763239875389,0.0,0.0,0.0,0.136094674556213,0.1218487394957983,0.4423076923076923,0.1183800623052959,0.8284023668639053,0.0118343195266272,1.691588785046729,0.1433021806853582,0.5358255451713395,0.6105919003115264,0.4018691588785046,0.0,2046.5405600779568,115.21586744696044,563.6284117551344,137.22442236770695,0.970005451298808,0.0811855676884632,7933.088719302103,1274.4143476431047,380.3881661798986,104.9817199025405,0.4049391461882121,0.0984112746020804,0.1960131287218176,0.0585442778308482,0.5939578610804576,0.0471218004878659,20.931586423379493,0.8602666536608715,0.6471731968594543,1,0.967638141878609,-0.1132458333519437,1
c4llm3su3,t,144,66.79166666666667,14.45864079191416,0.6180555555555556,0.2986111111111111,84.89583333333333,100.56944444444444,-15.67361111111111,2.701388888888889,0.2013888888888889,0.0138888888888888,0.0,0.0,0.0,0.1011235955056179,0.1386138613861386,0.391304347826087,0.1527777777777778,0.7865168539325843,0.0224719101123595,1.8125,0.1805555555555555,0.5833333333333334,0.6597222222222222,0.3888888888888889,0.0,2118.825669879541,126.05865803182188,580.6165297530365,117.57705935037502,1.0458400370813186,0.1110174341826867,8564.22563690863,1831.3960410020848,394.904401705758,100.3220272774834,0.3868914658871865,0.1035688796209632,0.2170995601000672,0.0567867059620263,0.5813606902342224,0.0756868232670963,15.753605313484597,0.382077153387939,0.317435548650151,4,0.2450283566122273,0.6607735740059947,4
cairne,t,40,74.725,36.06253410037543,0.6,0.2,90.625,117.075,-26.45,5.175,0.275,0.025,0.25,0.21875,0.325,0.25,0.125,0.6,0.125,0.7083333333333334,0.0,1.675,0.4,0.5,0.5,0.275,0.0,2017.092426468102,91.9236967728903,570.6122529567389,126.25797925124374,1.0187382448340103,0.2213108877092054,8308.589178663542,824.0540413385926,388.7829200503194,105.40799850685131,0.4511113233550287,0.1145013107402225,0.2634189193642773,0.0657291127534115,0.5969799169945478,0.0387574064917744,23.935677693908453,0.6211950847626962,0.5555517792294098,3,3.2524571158475792,0.6970068251846733,3
chr1zn,t,155,51.81290322580645,25.21077424471085,0.4903225806451612,0.1870967741935484,66.33548387096774,113.27741935483871,-46.94193548387097,2.793548387096774,0.1548387096774193,0.0258064516129032,0.0,0.0,0.0,0.1052631578947368,0.3333333333333333,0.16,0.1161290322580645,0.5921052631578947,0.0,2.606451612903226,0.1870967741935484,0.7225806451612903,0.967741935483871,0.7225806451612903,0.0064516129032258,2026.14293068027,113.3754023323571,526.8504060912584,119.84094663196169,0.9830920562738132,0.1204571293721518,8294.524476568653,1079.7582208248348,403.6392799288104,104.3931341066335,0.4154459360999571,0.0787361699182082,0.2130368651175488,0.1001875618948294,0.6042504597659514,0.0491671451595303,12.81692714158016,0.5998233566361151,0.4000993970419852,0,1.8331483401531103,-3.0414769347922177,0
cmtry,t,265,52.943396226415096,22.616198630906784,0.5018867924528302,0.3283018867924528,69.51698113207547,92.2377358490566,-22.720754716981133,2.3245283018867924,0.2226415094339622,0.1094339622641509,0.3308270676691729,0.2134831460674157,0.3094339622641509,0.0977443609022556,0.1067415730337078,0.40625,0.0981132075471698,0.4060150375939849,0.3233082706766917,2.8566037735849057,0.0490566037735849,1.2867924528301886,1.0226415094339625,0.4981132075471698,0.0,2177.82617090617,137.16766555220553,510.4070389431197,96.21575029638426,0.9387854793844376,0.0817681937806614,8514.549380021977,1429.40894839896,368.8515323447347,61.56855347422662,0.3274108962937294,0.0841663254814511,0.1450448857056006,0.0489252452017184,0.5802439985677388,0.0458741232064214,17.532350653167345,0.6010677125341406,0.4532146885903565,2,-6.1647406211180265,-0.8841290342703348,2
cobrazera,t,428,66.01869158878505,20.21054435219379,0.5957943925233645,0.2336448598130841,86.74766355140187,111.25233644859811,-24.50467289719626,4.149532710280374,0.1635514018691588,0.0023364485981308,0.3098039215686274,0.2652439024390244,0.3878504672897196,0.1137254901960784,0.1951219512195122,0.3118279569892473,0.1448598130841121,0.7372549019607844,0.0313725490196078,1.6565420560747663,0.2827102803738318,0.3551401869158878,0.5654205607476636,0.4532710280373832,0.0,1992.6493991600569,99.90519331983975,497.03742721490215,126.4022343543192,0.9168265694704288,0.1379110241537533,8504.886790071987,1251.5050355669412,379.3465055882567,102.43503402110278,0.4097709975439746,0.0909661342745763,0.218246984268731,0.066553767482735,0.5861221497016239,0.0491824090021288,13.344650318507888,0.4492506025688705,0.3758110420242811,3,1.4676851539217963,-0.6750802123920626,3
controlez,t,105,53.05714285714286,19.624507206267864,0.4095238095238095,0.1428571428571428,64.78095238095239,117.98095238095236,-53.2,2.323809523809524,0.1714285714285714,0.0,0.1627906976744186,0.2333333333333333,0.2666666666666666,0.2093023255813953,0.2333333333333333,0.3,0.0857142857142857,0.813953488372093,0.0,1.2476190476190476,0.1238095238095238,0.3523809523809524,0.419047619047619,0.3523809523809524,0.0,1969.849932297984,100.39658707754684,549.1633225623814,117.18568891272794,0.9741681240191696,0.0922608195903024,7115.640281594355,1195.954995983375,419.00493490998576,80.43035078459069,0.4527875709620031,0.1309392302221571,0.2223454246336889,0.0362149465325629,0.664024413217595,0.0436622262778222,12.3054384870438,0.3899020612624389,0.330302939595556,0,3.208994502106054,-5.020572079714516,0
corn,t,52,29.90384615384616,17.791575923658836,0.2307692307692307,0.0576923076923076,33.40384615384615,121.6923076923077,-88.28846153846153,3.3653846153846154,0.1346153846153846,0.0384615384615384,0.5833333333333334,0.2040816326530612,0.3269230769230769,0.1666666666666666,0.1224489795918367,0.25,0.0384615384615384,0.4166666666666667,0.0,1.3846153846153846,0.2115384615384615,0.2692307692307692,0.6923076923076923,0.2115384615384615,0.0,2121.0771626519954,235.0985467342687,428.4026653791125,59.413417391599175,0.9265866576627224,0.0722043806003259,6827.819543552889,1401.4695393768452,279.76520336775025,52.52055585234903,0.3906649691949663,0.0796518173069341,0.1603054487192207,0.0953405966479572,0.6152442395350624,0.0627652992603071,24.054297359647908,0.3910064470909228,0.2855384286003991,0,0.1681594244956323,-8.791842713694965,0
crepow,t,52,51.82692307692308,37.181673602083215,0.4230769230769231,0.0384615384615384,59.44230769230769,124.28846153846152,-64.84615384615384,3.6538461538461537,0.1346153846153846,0.0,0.0,0.0,0.0,0.2272727272727272,0.22,0.3125,0.0769230769230769,0.5909090909090909,0.0,1.6923076923076923,0.4615384615384615,0.3653846153846153,0.4615384615384615,0.3269230769230769,0.0769230769230769,2020.9604605024272,318.12211195889233,538.7541538913871,122.8840327335384,1.12543714862732,0.0951828536164062,5954.997115976647,1224.9988658205018,375.6785364558045,106.91829093984543,0.4951305420984489,0.1385248372195118,0.2954564791458749,0.0898239670747326,0.6684352207344744,0.0826074240258198,15.95415768357234,0.7682333187077927,0.5466938697954062,0,6.945626508740543,-4.940059868090604,0
d1ledez,t,230,73.33478260869565,29.220412501410912,0.6869565217391305,0.2565217391304348,98.46521739130436,105.00434782608696,-6.539130434782609,2.6043478260869564,0.1521739130434782,0.008695652173913,0.0,0.0,0.0,0.0949367088607595,0.1578947368421052,0.3571428571428571,0.1608695652173913,0.7658227848101266,0.0063291139240506,2.0608695652173914,0.2217391304347826,0.5869565217391305,0.8260869565217391,0.4260869565217391,0.0,2016.9876163926588,100.38689454945047,487.6361050228612,118.10534636658689,0.923161686784098,0.1156106214213967,7861.821718897383,988.833187913472,338.5743586076325,81.48455407136724,0.4126743307585888,0.0775309833213817,0.176006858033637,0.0517962541041189,0.5850991010490422,0.052001669890458,16.826656589709362,0.7906008037531594,0.5333983297646145,1,0.1099070953283312,0.5100782232638272,1
daps,t,31,50.935483870967744,20.08540791497925,0.3548387096774194,0.1290322580645161,59.41935483870968,129.5483870967742,-70.12903225806451,3.3548387096774195,0.1935483870967742,0.032258064516129,0.0,0.1851851851851851,0.1612903225806451,0.3636363636363636,0.1111111111111111,0.5714285714285714,0.032258064516129,0.4545454545454545,0.0,1.935483870967742,0.3225806451612903,0.6451612903225806,0.3870967741935484,0.5806451612903226,0.0,2036.171396593928,40.82534203389893,735.6334856052895,240.92277034030084,1.170971327840915,0.0995808175185669,8006.931776191892,631.1272495901285,625.1733529156797,232.4662361838461,0.4083873665372036,0.1140741412173416,0.2227053645847212,0.0879784695554295,0.5969659184554124,0.0226333436095964,4.507070115714502,0.097154892461737,0.10306016378743,0,4.217041358972672,-3.1294577335197395,0
